가맹점,카드수,주카테고리
스타벅스,66,카페/디저트
GS25,46,편의점
CGV,36,영화/문화
쿠팡,32,마트/쇼핑
아웃백,30,푸드/외식
에버랜드,28,테마파크/레저
롯데월드,26,테마파크/레저
넷플릭스,25,구독/멤버십
VIPS,24,푸드/외식
CU,22,편의점
G마켓,22,마트/쇼핑
교보문고,21,영화/문화
올리브영,19,뷰티/피트니스
멜론,18,구독/멤버십
GS칼텍스,17,주유
옥션,16,마트/쇼핑
티몬,15,마트/쇼핑
요기요,15,배달앱
OTT,15,구독/멤버십
세븐일레븐,14,편의점
위메프,13,마트/쇼핑
TGIF,13,푸드/외식
투썸플레이스,13,카페/디저트
배달의 민족,13,배달앱
간편결제,13,간편결제
폴바셋,12,카페/디저트
온라인 간편결제,11,간편결제
배달의민족,11,배달앱
롯데시네마,11,영화/문화
SKT,10,통신
카카오페이,10,간편결제
다이소,10,뷰티/피트니스
파리바게뜨,10,카페/디저트
쿠팡이츠,10,배달앱
KT,9,통신
서울랜드,9,테마파크/레저
LG U+,9,통신
스트리밍,9,구독/멤버십
뚜레쥬르,9,카페/디저트
디지털콘텐츠,9,구독/멤버십
롯데 자이언츠,9,테마파크/레저
메가박스,8,영화/문화
이디야,8,카페/디저트
주차장,8,자동차/정비
유튜브프리미엄,7,구독/멤버십
온라인,7,온라인쇼핑
네이버페이,7,간편결제
해피포인트,6,멤버십/포인트
온라인 간편결제서비스 이용 시,6,멤버십/포인트
무신사,6,마트/쇼핑
웨이브,5,구독/멤버십
왓챠,5,구독/멤버십
치킨,5,푸드/외식
구글플레이스토어,5,영화/문화
대리운전,5,자동차/정비
롯데시네마 4,5,영화/문화
CGV 3,5,영화/문화
던킨도너츠,5,카페/디저트
삼성페이,5,간편결제
피자,5,푸드/외식
지니,5,구독/멤버십
KB Pay,5,간편결제
CGV 4,5,영화/문화
롯데리아,5,푸드/외식
공유 모빌리티,5,생활
스타벅스(사이렌오더 포함),5,카페/디저트
현대오일뱅크,4,주유
맥도날드,4,푸드/외식
일시불,4,모든가맹점
인터파크 티켓,4,영화/문화
모아포인트,4,멤버십/포인트
요기요 1,4,배달앱
스타벅스 4,4,카페/디저트
배스킨라빈스,4,카페/디저트
스타벅스 사이렌오더,4,카페/디저트
배달,4,마트/쇼핑
마켓컬리,4,마트/쇼핑
유튜브,4,구독/멤버십
앱스토어,4,영화/문화
딜리버리,4,배달앱
롯데월드 15,4,테마파크/레저
롯데시네마 관람료 1,4,영화/문화
Liiv M 2,4,통신
유튜브프리미엄 1,4,구독/멤버십
주요 간편결제 모아포인트,3,간편결제
우체국,3,기타
이디야 결제 건당,3,카페/디저트
롯데ON,3,마트/쇼핑
도서,3,영화/문화
경주월드,3,테마파크/레저
모아포인트 0.3 ~,3,모든가맹점
스타벅스 3,3,카페/디저트
유튜브 프리미엄 정기권,3,기타
유튜브 프리미엄,3,구독/멤버십
인터파크,3,마트/쇼핑
롯데월드 본인 종합이용권,3,테마파크/레저
기본적립,3,멤버십/포인트
기아 신차 구매 시,3,멤버십/포인트
빕스,3,푸드/외식
전기,3,주유
사용 금액의,3,멤버십/포인트
애플 앱스토어,3,영화/문화
구글 플레이스토어,3,영화/문화
아시아나,3,항공/마일리지
어학시험,3,교육/육아
영상 스트리밍,3,구독/멤버십
CJ올리브영,3,뷰티/피트니스
'기본적립'된 포인트의,3,멤버십/포인트
아웃백스테이크하우스,3,푸드/외식
식음료,3,푸드/외식
하이패스,3,교통
S-OIL,3,주유
엔제리너스,3,카페/디저트
티빙,3,구독/멤버십
전국맛집 5,2,푸드/외식
에버랜드 자유이용권,2,테마파크/레저
지니뮤직,2,구독/멤버십
지그재그,2,마트/쇼핑
EMS,2,마트/쇼핑
KTX,2,기타
집반찬연구소,2,푸드/외식
디즈니플러스,2,구독/멤버십
썸패스,2,간편결제
현대자동차,2,멤버십/포인트
세라 온라인 충전금액,2,영화/문화
프로야구,2,테마파크/레저
더한섬닷컴,2,기타
프레딧,2,마트/쇼핑
적립한도 없이 기본,2,모든가맹점
세차,2,자동차/정비
단골 매장,2,기타
온라인몰,2,멤버십/포인트
빵집 2,2,카페/디저트
제일제면소,2,푸드/외식
할인한도 없이,2,모든가맹점
해피오더,2,멤버십/포인트
빅포인트,2,모든가맹점
GS리테일 점내 이용 시,2,멤버십/포인트
인앱 결제,2,구독/멤버십
할리스,2,카페/디저트
야놀자,2,멤버십/포인트
온라인 식품배달,2,배달앱
불고기브라더스,2,푸드/외식
레고랜드 리조트,2,테마파크/레저
삼성닷컴,2,마트/쇼핑
애슐리,2,푸드/외식
랄라블라,2,뷰티/피트니스
주차,2,자동차/정비
다이소 결제금액의,2,마트/쇼핑
이동,2,교통
디지털 컨텐츠,2,구독/멤버십
디지털 결제,2,간편결제
주문,2,배달앱
모바일앱) 2,2,영화/문화
우대:,2,기타
EQL,2,기타
SRT 일반석 승차권,2,기타
SSG,2,마트/쇼핑
자동차정비 5,2,자동차/정비
수소차 충전,2,기타
통도환타지아 자유이용권,2,테마파크/레저
CGV 온라인 예매(홈페이지,2,영화/문화
원스토어,2,영화/문화
국제 브랜드 수수료(,2,금융서비스
SSG.COM,2,마트/쇼핑
일반:,2,기타
W컨셉,2,마트/쇼핑
교보문고(온라인 포함),2,영화/문화
건당 결제 금액에 따라,2,멤버십/포인트
SSG닷컴,2,마트/쇼핑
배달의민족ㆍ요기요,2,배달앱
미스터피자,2,푸드/외식
고속도로 통행료,2,교통
PAYCO,2,간편결제
다이닝,2,멤버십/포인트
YouTube Premium,2,구독/멤버십
세차),2,자동차/정비
Yes24 1,2,영화/문화
신세계사이먼 프리미엄 아울렛,2,마트/쇼핑
유료 어플리케이션 결제,2,구독/멤버십
버거킹,2,푸드/외식
파리바케트,2,카페/디저트
트래블,2,멤버십/포인트
넥슨캐시,2,영화/문화
카카오톡 선물하기,2,기타
신세계 계열사,2,마트/쇼핑
패션,2,마트/쇼핑
SK에너지,2,주유
쇼핑 5,2,마트/쇼핑
농협몰,2,마트/쇼핑
인앱결제,1,온라인쇼핑
연회비 없이 온라인,1,멤버십/포인트
인테이크몰,1,마트/쇼핑
옥션 결제시 2만원당 400,1,편의점
연간 카드사용액 3천만원 이상 시,1,멤버십/포인트
인테리어,1,기타
인터넷 예매 1,1,테마파크/레저
인터넷교보문고,1,영화/문화
열공,1,교육/육아
인터넷영풍문고,1,영화/문화
인터넷우체국,1,마트/쇼핑
인터파크(투어,1,멤버십/포인트
오늘의집,1,온라인쇼핑
인터파크 3,1,영화/문화
오토케어,1,교통
인터파크 YES24 예매시 1,1,영화/문화
오늘도,1,멤버십/포인트
완구 구매,1,기타
유료 어플리케이션,1,기타
위메프 포인트,1,온라인쇼핑
위메프 적립,1,마트/쇼핑
웰니스,1,멤버십/포인트
웨이브 월정액 결제시,1,구독/멤버십
월 100만원 미만 이용 시,1,멤버십/포인트
원하는 환율에 외화 충전,1,해외
원하는 시점,1,해외
여객,1,교통
우표구매,1,마트/쇼핑
외국인 선호 관광지,1,기타
요기요),1,배달앱
우노,1,푸드/외식
우편요금,1,마트/쇼핑
우편,1,마트/쇼핑
우체국 서비스(우편,1,금융서비스
우리WON마켓,1,마트/쇼핑
우리페이,1,멤버십/포인트
운송,1,교통
온누리상품권 차감 이용,1,기타
온누리상품권 차감 이용 5~,1,기타
인생네컷,1,생활
익스피디아 이용 시 객실요금,1,온라인쇼핑
이체수수료,1,금융서비스
이월드(대구),1,테마파크/레저
이월드 자유이용권,1,테마파크/레저
온라인 몰,1,마트/쇼핑
이디야 모아포인트,1,카페/디저트
와인앤모어,1,카페/디저트
온라인 어디서나,1,캐시백
이니스프리 온,1,기타
이니스프리,1,기타
온라인 이용 건,1,마트/쇼핑
음원,1,기타
음악,1,구독/멤버십
온라인패션몰,1,마트/쇼핑
올원페이,1,간편결제
옵션 적립처에 따라 스카이패스 2,1,기타
온라인 서적 인터넷 2,1,영화/문화
플러스 : 넷플릭스,1,구독/멤버십
프로축구,1,테마파크/레저
푸드,1,푸드/외식
포토,1,생활
평일,1,모든가맹점
페이결제 건,1,간편결제
페이결제,1,간편결제
페이,1,간편결제
팬덤,1,기타
패션플랫폼(지그재그,1,마트/쇼핑
파고다,1,교육/육아
팀스토어 매장 이용시,1,마트/쇼핑
팀스토어,1,기타
티켓몬스터,1,온라인쇼핑
주요할인점,1,편의점
특별적립,1,생활
트리플 NOL 포인트,1,멤버십/포인트
트레이더스 홀세일 클럽 1,1,마트/쇼핑
투썸플레이스 1,1,카페/디저트
통도환타지아,1,테마파크/레저
토스프라임,1,구독/멤버십
토스,1,간편결제
택배,1,마트/쇼핑
탐앤탐스,1,카페/디저트
크리스피크림도넛,1,푸드/외식
쿠팡플레이,1,멤버십/포인트
쿠팡이츠. 마켓컬리,1,배달앱
쿠팡ㆍSSG닷컴ㆍ마켓컬리,1,마트/쇼핑
코스트코 매장,1,멤버십/포인트
코레일,1,기타
티켓),1,멤버십/포인트
횟수 제한 없이 하나머니,1,모든가맹점
환전 주요 통화는 환전 수수료 무료,1,해외
환전 우대 환율,1,금융서비스
환율,1,금융서비스
홈플러스포인트,1,편의점
홈플러스 포인트,1,마트/쇼핑
홈플러스 매장,1,마트/쇼핑
홈페이지 예매시,1,영화/문화
현대자동차 신차 구매 시,1,멤버십/포인트
현대오일뱅크(LPG포함),1,주유
해피포인트 앱 내 해피오더,1,멤버십/포인트
해피페이,1,멤버십/포인트
해피마켓 사용 시,1,멤버십/포인트
할인한도 없이 온라인 간편결제,1,간편결제
할인한도 없이 롯데월드 직영 기념품샵,1,테마파크/레저
플러스 : 온라인 간편결제,1,간편결제
할인점,1,마트/쇼핑
할인액의,1,기타
할부 매출액 1,1,항공/마일리지
한도 제한 없이,1,멤버십/포인트
한도 없이,1,해외
학습지 12대 브랜드,1,교육/육아
학습지,1,교육/육아
하이프레시,1,푸드/외식
'카드 쓰면,1,캐시백
하나페이 맛집,1,푸드/외식
하나페이 결제,1,간편결제
하나원큐페이 결제,1,멤버십/포인트
하나원큐페이,1,간편결제
하나. Discount,1,카페/디저트
피자헛,1,푸드/외식
할인한도,1,기타
주요 간편결제 온,1,간편결제
주요 간편결제,1,간편결제
주식 약정별 카드사용금액의 0.5~,1,기타
주말 식료품비,1,마트/쇼핑
주말 3대 할인점,1,마트/쇼핑
죠스떡볶이,1,푸드/외식
조건 없이 캐시백,1,모든가맹점
제한 없이 기본,1,모든가맹점
제주신화월드 객실,1,여행/숙박
제너두 둔내 펜션,1,여행/숙박
제과점,1,카페/디저트
정육점,1,기타
정비소(스피드메이트),1,교통
정관장,1,마트/쇼핑
컬리 적립금,1,멤버십/포인트
점심식사,1,기타
점심 식사,1,기타
전자책,1,구독/멤버십
전국 모든 정유사 대상,1,주유
전 세계 스타벅스,1,카페/디저트
적립한도 없이,1,모든가맹점
저녁식사(오후 6시~9시),1,기타
자주 쓰는 간편결제,1,간편결제
자동충전시,1,기타
자동납부,1,공과금/생활요금
자녀중심,1,기타
자녀 도서 구매에도,1,영화/문화
일상 속,1,멤버십/포인트
일상,1,생활
일본 돈키호테,1,해외
점심할인,1,기타
컬리,1,마트/쇼핑
캐리비안베이 입장권,1,테마파크/레저
캐리비안베이 30~,1,테마파크/레저
캐리비안베이 30 ~,1,테마파크/레저
카카오프렌즈 캐릭터샵 이용 시,1,기타
카카오페이지,1,생활
카카오페이에 카드 등록,1,간편결제
카카오페이결제,1,간편결제
카카오페이 등,1,간편결제
카카오페이 결제,1,간편결제
카카오웹툰,1,생활
카카오T대리 자동결제,1,기타
카카오T 카카오페이 결제시,1,멤버십/포인트
카카오 대리운전 2,1,자동차/정비
친환경 자동차 충전(20~,1,주유
주요 할인점,1,편의점
출퇴근시간대 통행료 20~,1,교통
출석,1,캐시백
축구,1,테마파크/레저
추가 적립 대상점 이용 시 스,1,멤버십/포인트
추가 Discount -,1,기타
청구 할인 혜택 (매일 할인,1,생활
차량 구매액,1,자동차/정비
진에어,1,기타
직영 기념품 매장,1,테마파크/레저
지난달 실적 30만원 이상 시,1,간편결제
즉시결제,1,캐시백
즉시 결제,1,캐시백
중국 비자 수수료,1,여행/숙박
주중 온라인,1,마트/쇼핑
여가,1,기타
친환경 마켓,1,마트/쇼핑
나들가게,1,기타
까사미아,1,생활
기타 통화는 환전 수수료,1,해외
기본 Discount -,1,모든가맹점
금융포인트 0.5~,1,금융서비스
그린카,1,교통
군 공중전화요금 자동이체 시,1,통신
국제브랜드수수료(,1,금융서비스
구글 Play스토어,1,영화/문화
공유자전거,1,생활
공유모빌리티,1,교통
공유 모빌리티 (,1,생활
계절밥상,1,푸드/외식
결제 건,1,간편결제
스타벅스 1,1,카페/디저트
갤럭시 스토어,1,멤버십/포인트
간편식,1,푸드/외식
간편결제(Pay) 20~,1,간편결제
간편결제(Pay),1,간편결제
각종 페이결제,1,간편결제
‘카드값 바로내면,1,캐시백
wavve 월 이용권 7,1,구독/멤버십
hy,1,멤버십/포인트
Yes24 3,1,영화/문화
YES24,1,영화/문화
YBM시사,1,교육/육아
UniMile 0.2~,1,항공/마일리지
UNIQ DAILY,1,기타
TOEIC 응시료 3,1,기타
TGIF 등,1,푸드/외식
건강식품,1,기타
라이프스타일 50,1,생활
라이프스타일,1,생활
땡겨요,1,배달앱
디지털 콘텐츠 서비스 배민포인트,1,구독/멤버십
디즈니 플러스 1,1,구독/멤버십
디즈니 +,1,구독/멤버십
드러그스토어,1,뷰티/피트니스
둘이중심,1,기타
둘. Discount,1,교통
동반 1인,1,테마파크/레저
돌봄중심,1,기타
돈키호테,1,해외
도서 2,1,영화/문화
도미노피자,1,푸드/외식
나뚜루,1,푸드/외식
더현대닷컴,1,마트/쇼핑
더페이스샵,1,기타
더본(theborn) 모든 매장,1,푸드/외식
대구이월드,1,테마파크/레저
대구삼성라이온즈파크 식음매장,1,기타
다이소몰,1,기타
다양한 충전수단,1,기타
농협판매장 이용 시,1,모든가맹점
농협판매장,1,마트/쇼핑
농협 판매장,1,편의점
넷플릭스ㆍ유투브ㆍ왓챠ㆍ멜론ㆍ지니뮤직,1,구독/멤버십
넥슨팩,1,멤버십/포인트
네이버페이 포인트,1,간편결제
네이버웹툰,1,생활
낚시 용품 등(해당 매장 상품),1,마트/쇼핑
던킨,1,카페/디저트
HD현대오일뱅크,1,주유
H.Point,1,기타
H&B 스토어,1,뷰티/피트니스
H&B Store,1,뷰티/피트니스
GS칼텍스 L당,1,주유
GS왓슨시,1,뷰티/피트니스
GS25ㆍCUㆍ세븐일레븐,1,편의점
GS 칼텍스,1,주유
GS 수퍼,1,편의점
GS THE FRESH,1,기타
GS SHOP,1,마트/쇼핑
GS 25,1,편의점
Food & Drink Zone,1,푸드/외식
F&B,1,기타
T.G.I.FRiDAY'S,1,푸드/외식
CMA 우대금리,1,금융서비스
CJ푸드빌 10~,1,푸드/외식
CJ푸드빌,1,푸드/외식
CJ온스타일,1,마트/쇼핑
하이패스 이용요금의,1,교통
할부 이용 시 월 11,1,기타
KB Pay 쇼핑 이용 5~,1,마트/쇼핑
CJmall,1,마트/쇼핑
CJ mall,1,마트/쇼핑
CJ ONE,1,기타
CGV),1,구독/멤버십
CGV 예매시,1,영화/문화
CGV 동반 1인,1,영화/문화
CGV 2,1,영화/문화
Bonus Point (유튜브,1,구독/멤버십
(상품 기본 혜택) 쿠팡,1,멤버십/포인트
T.G.I. FRiDAY'S,1,푸드/외식
S–Oil,1,주유
Single Point (월~금,1,멤버십/포인트
Shopping Zone,1,마트/쇼핑
SSG페이,1,간편결제
SPA 패션,1,마트/쇼핑
SPA 브랜드,1,기타
SKYPASS 1,1,항공/마일리지
S-OIL 리터 당,1,주유
PC게임방,1,영화/문화
OTT 플랫폼,1,구독/멤버십
OTT 정기 결제,1,구독/멤버십
ONEstore(원스토어),1,프리미엄서비스
OK캐쉬백 플러스 원클릭 충전,1,기타
NH포인트,1,멤버십/포인트
IKEA 매장 이용 시,1,마트/쇼핑
MEMBERSHIP -,1,구독/멤버십
Lunch Time,1,기타
LIVING -,1,생활
LG트윈스 용품 구매 시,1,마트/쇼핑
LG전자 5~,1,마트/쇼핑
L.POINT 0.7 ~,1,멤버십/포인트
L.POINT 0.3 ~,1,모든가맹점
KT Olleh,1,통신
KG모바일 알뜰폰 결합 시,1,통신
KFC 이용 시,1,푸드/외식
KFC,1,푸드/외식
힐링,1,생활
KB Pay 쇼핑 이용,1,마트/쇼핑
KB Pay 결제,1,간편결제
JYP-Soulcup,1,카페/디저트
Mobility Zone,1,기타
스트리밍 이용요금,1,구독/멤버십
스트리밍 3,1,구독/멤버십
스타벅스ㆍ폴바셋ㆍ빽다방ㆍ투썸플레이스,1,카페/디저트
스타벅스 이용 시 추가,1,카페/디저트
스타벅스 드라이브스루,1,카페/디저트
스타벅스 드라이브 스루,1,카페/디저트
스타벅스 5,1,카페/디저트
스타벅스 30~,1,카페/디저트
ATM 수수료 면제 환전 시 환율,1,금융서비스
스카이라인루지 부산,1,테마파크/레저
스몹,1,테마파크/레저
쉐이크쉑,1,푸드/외식
수퍼마켓,1,마트/쇼핑
수소차,1,주유
랭킹닭컴,1,마트/쇼핑
쇼핑 채널,1,마트/쇼핑
쇼핑 건당 3,1,마트/쇼핑
쇼픽 그룹,1,마트/쇼핑
소형몰 먹거리까지 구분 없이,1,마트/쇼핑
소셜 커머스,1,온라인쇼핑
소득공제,1,공과금/생활요금
셋. Discount,1,편의점
세차장,1,자동차/정비
세븐일레븐매장,1,편의점
세븐일레븐ㆍGS25ㆍCU,1,편의점
세븐스프링스 주중,1,푸드/외식
선물하기,1,멤버십/포인트
서적,1,영화/문화
서울랜드 자유이용권,1,테마파크/레저
생픽 그룹,1,생활
쇼핑),1,금융서비스
엔터테인먼트 20,1,영화/문화
엔터테인먼트 15,1,영화/문화
엔진오일 교환 25,1,자동차/정비
에이블리),1,마트/쇼핑
에이블리,1,마트/쇼핑
에버랜드리조트,1,테마파크/레저
에버랜드 페스티벌월드 자유이용권,1,테마파크/레저
에버랜드 직영 기념품 매장,1,기타
엉 서비스 - O2O 앱 이용 시,1,생활
언제 어디서든 한도없이,1,기타
어학응시료 2,1,기타
어학시험응시료(온라인접수),1,영화/문화
어플리케이션 2,1,기타
어디서나,1,모든가맹점
야채과일가게,1,기타
스트리밍(넷플릭스,1,구독/멤버십
애플 APP Store,1,영화/문화
아웃백스테이크,1,푸드/외식
아웃백 등,1,푸드/외식
아모레퍼시픽 온라인몰,1,멤버십/포인트
아모레퍼시픽,1,기타
써브웨이,1,푸드/외식
실적 조건 없이,1,기타
실적 조건 없는,1,모든가맹점
실적,1,멤버십/포인트
신한투자증권 CMA 결제계좌,1,금융서비스
신한은행 결제계좌 연결 시,1,마트/쇼핑
신한금융투자 CMA 결제계좌,1,금융서비스
승선비,1,테마파크/레저
슬립리스인시애틀,1,카페/디저트
스트리밍(멜론,1,기타
야간요식 5~,1,푸드/외식
모바일,1,영화/문화
명품,1,마트/쇼핑
메가박스 현장구매,1,영화/문화
먹픽 그룹,1,푸드/외식
맥스무비 3,1,영화/문화
맥스무비 1매당 3,1,영화/문화
맥스무비,1,영화/문화
매일 가는 곳은 혜택 고민 없이,1,생활
많이 쓸수록,1,기타
마켓,1,멤버십/포인트
리또 이용 고객 리워드 30,1,간편결제
리디북스 이용 시,1,영화/문화
리디북스,1,영화/문화
롯데자이언츠 관람권,1,테마파크/레저
상품,1,캐시백
롯데월드 운영 시설 이용권 본인,1,테마파크/레저
롯데월드 운영 시설 연간이용권,1,테마파크/레저
롯데월드 어드벤처 종합이용권,1,테마파크/레저
롯데월드 부산,1,테마파크/레저
롯데시네마 모아포인트,1,영화/문화
롯데시네마 12,1,영화/문화
롯데시네마 1,1,영화/문화
롯데렌터카(구. 금호렌터카),1,교통
롯데 주요 매장,1,기타
롤라머니,1,멤버십/포인트
로켓와우,1,마트/쇼핑
렌터카,1,교통
레고랜드 코리아,1,테마파크/레저
레고,1,기타
랭킹닭컴 이용 시,1,푸드/외식
롯데월드 종합이용권,1,테마파크/레저
삼성페이 온라인결제,1,간편결제
삼성전자 서비스센터,1,마트/쇼핑
삼성라이온즈 홈경기 입장권,1,기타
삼성 페이,1,간편결제
사업장 운영 경비,1,기타
사업운영에 꼭 필요한 곳에서,1,기타
사업 필수 경비,1,기타
빽다방 이용시,1,푸드/외식
빽다방,1,카페/디저트
비타트라(Vitatra),1,해외
브랜디,1,마트/쇼핑
보네스뻬,1,푸드/외식
보너스 포인트,1,멤버십/포인트
병의원,1,병원/약국
베스트 플러스 할부 포인트 최고,1,금융서비스
모바일 결제,1,마트/쇼핑
베니건스,1,푸드/외식
번개장터(번개페이),1,기타
번개장터,1,멤버십/포인트
벅스,1,간편결제
배달의민족 1,1,배달앱
배달음식,1,배달앱
배달(배달의민족,1,배달앱
배구 예매,1,테마파크/레저
반찬가게,1,기타
미술관,1,영화/문화
미샤,1,기타
무조건,1,기타
모아포인트 최고,1,멤버십/포인트
모아포인트 1.0 ~,1,멤버십/포인트
모빌마켓 이용 시,1,마트/쇼핑
베베쿡,1,기타
